"INDEX NERI"," TSTART [UT]"," TFINAL [UT]","bind","INDEX KAZACKENKO"," TSTART [UT]"," TFINAL [UT]"," S_RBN [cm^2]"," IXPEAK [W/M^2]"
"183"," 2010-11-11 07:15"," 2010-11-11 07:28","[ 2 66]","15"," 2010-11-11 07:15"," 2010-11-11 07:28","2.81E+24","4.70E-6"
"179"," 2011-01-21 15:17"," 2011-01-21 15:25","[ 0 36]","28"," 2011-01-21 15:17"," 2011-01-21 15:25","2.37E+24","1.10E-6"
"178"," 2011-01-21 20:14"," 2011-01-21 20:39","[17 62]","30"," 2011-01-21 20:14"," 2011-01-21 20:39","3.17E+24","1.30E-6"
"177"," 2011-02-14 19:23"," 2011-02-14 19:36","[628 714]","44"," 2011-02-14 19:23"," 2011-02-14 19:36","3.68E+24","6.60E-6"
"174"," 2011-02-15 14:32"," 2011-02-15 14:51","[ 2 55]","48"," 2011-02-15 14:32"," 2011-02-15 14:51","2.73E+24","4.80E-6"
"173"," 2011-02-15 19:30"," 2011-02-15 20:53","[1003 1073]","50"," 2011-02-15 19:30"," 2011-02-15 20:53","6.77E+24","6.60E-6"
"253"," 2011-02-16 07:35"," 2011-02-16 07:55","[  2 105]","53"," 2011-02-16 07:35"," 2011-02-16 07:55","4.14E+24","1.10E-5"
"170"," 2011-02-16 09:02"," 2011-02-16 09:19","[650 712]","54"," 2011-02-16 09:02"," 2011-02-16 09:19","5.35E+24","9.90E-6"
"252"," 2011-02-16 14:19"," 2011-02-16 14:29","[ 3 41]","56"," 2011-02-16 14:19"," 2011-02-16 14:29","5.72E+24","1.60E-5"
"169"," 2011-02-16 15:27"," 2011-02-16 15:37","[ 5 71]","57"," 2011-02-16 15:27"," 2011-02-16 15:37","3.87E+24","7.70E-6"
"166"," 2011-03-03 20:27"," 2011-03-03 21:02","[ 2 88]","91"," 2011-03-03 20:27"," 2011-03-03 21:02","3.61E+21","2.70E-6"
"162"," 2011-04-13 10:37"," 2011-04-13 10:45","[ 94 141]","160"," 2011-04-13 10:37"," 2011-04-13 10:45","2.09E+23","1.40E-6"
"159"," 2011-04-22 16:56"," 2011-04-22 17:14","[505 597]","193"," 2011-04-22 16:56"," 2011-04-22 17:14","4.50E+21","5.50E-6"
"158"," 2011-04-22 19:30"," 2011-04-22 19:40","[142 172]","195"," 2011-04-22 19:30"," 2011-04-22 19:40","3.21E+21","3.60E-6"
"157"," 2011-04-23 07:30"," 2011-04-23 07:38","[  4 154]","203"," 2011-04-23 07:30"," 2011-04-23 07:38","2.02E+24","2.40E-6"
"154"," 2011-06-02 09:44"," 2011-06-02 09:50","[636 685]","218"," 2011-06-02 09:44"," 2011-06-02 09:50","1.64E+24","2.70E-6"
"152"," 2011-07-28 20:29"," 2011-07-28 20:40","[508 591]","244"," 2011-07-28 20:29"," 2011-07-28 20:40","2.76E+24","3.50E-6"
"146"," 2011-07-29 16:34"," 2011-07-29 16:46","[  2 174]","248"," 2011-07-29 16:34"," 2011-07-29 16:46","4.05E+24","6.30E-6"
"145"," 2011-08-02 03:57"," 2011-08-02 04:23","[ 1 21]","263"," 2011-08-02 03:57"," 2011-08-02 04:23","1.61E+24","1.20E-6"
"246"," 2011-08-03 03:08"," 2011-08-03 03:51","[ 0 42]","268"," 2011-08-03 03:08"," 2011-08-03 03:51","5.44E+24","1.10E-5"
"245"," 2011-08-03 04:29"," 2011-08-03 04:35","[ 87 151]","269"," 2011-08-03 04:29"," 2011-08-03 04:35","3.32E+24","1.70E-5"
"144"," 2011-08-04 00:47"," 2011-08-04 01:23","[ 18 116]","275"," 2011-08-04 00:47"," 2011-08-04 01:23","6.07E+24","1.70E-6"
"143"," 2011-08-04 02:14"," 2011-08-04 02:28","[ 2 65]","276"," 2011-08-04 02:14"," 2011-08-04 02:28","3.77E+24","3.20E-6"
"244"," 2011-08-04 03:41"," 2011-08-04 04:04","[ 90 229]","277"," 2011-08-04 03:41"," 2011-08-04 04:04","1.54E+25","9.30E-5"
"142"," 2011-08-04 07:56"," 2011-08-04 08:06","[235 279]","278"," 2011-08-04 07:56"," 2011-08-04 08:06","2.61E+24","3.50E-6"
"141"," 2011-08-04 09:15"," 2011-08-04 09:23","[ 7 61]","279"," 2011-08-04 09:15"," 2011-08-04 09:23","1.83E+24","2.50E-6"
"140"," 2011-08-04 10:06"," 2011-08-04 10:19","[ 1 26]","280"," 2011-08-04 10:06"," 2011-08-04 10:19","3.82E+24","1.60E-6"
"139"," 2011-08-04 13:04"," 2011-08-04 13:12","[ 2 18]","282"," 2011-08-04 13:04"," 2011-08-04 13:12","1.68E+24","2.10E-6"
"136"," 2011-09-28 02:36"," 2011-09-28 02:50","[ 2 83]","344"," 2011-09-28 02:36"," 2011-09-28 02:50","3.14E+24","2.00E-6"
"234"," 2011-11-05 20:31"," 2011-11-05 20:54","[  4 129]","398"," 2011-11-05 20:31"," 2011-11-05 20:54","6.64E+24","1.80E-5"
"132"," 2011-11-16 21:37"," 2011-11-16 21:49","[  3 167]","425"," 2011-11-16 21:37"," 2011-11-16 21:49","1.23E+21","1.60E-6"
"129"," 2011-12-25 20:23"," 2011-12-25 20:33","[ 2 91]","479"," 2011-12-25 20:23"," 2011-12-25 20:33","2.59E+24","7.70E-6"
"232"," 2011-12-26 20:12"," 2011-12-26 20:36","[ 2 58]","483"," 2011-12-26 20:12"," 2011-12-26 20:36","9.32E+24","2.30E-5"
"128"," 2011-12-28 20:53"," 2011-12-28 21:10","[ 2 87]","486"," 2011-12-28 20:53"," 2011-12-28 21:10","3.39E+24","2.30E-6"
"125"," 2012-03-01 15:10"," 2012-03-01 15:36","[ 2 45]","520"," 2012-03-01 15:10"," 2012-03-01 15:36","2.38E+21","3.30E-6"
"230"," 2012-03-06 22:49"," 2012-03-06 23:11","[ 59 104]","539"," 2012-03-06 22:49"," 2012-03-06 23:11","6.80E+24","1.00E-5"
"260"," 2012-03-07 00:02"," 2012-03-07 00:40","[ 1 13]","540"," 2012-03-07 00:02"," 2012-03-07 00:40","3.52E+25","5.40E-4"
"259"," 2012-03-07 01:05"," 2012-03-07 01:23","[652 714]","541"," 2012-03-07 01:05"," 2012-03-07 01:23","2.09E+25","1.30E-4"
"119"," 2012-03-08 02:49"," 2012-03-08 02:56","[664 686]","543"," 2012-03-08 02:49"," 2012-03-08 02:56","3.53E+21","7.20E-6"
"229"," 2012-03-14 15:08"," 2012-03-14 15:36","[ 2 42]","553"," 2012-03-14 15:08"," 2012-03-14 15:36","7.02E+24","2.80E-5"
"116"," 2012-04-05 16:16"," 2012-04-05 16:32","[ 2 87]","569"," 2012-04-05 16:16"," 2012-04-05 16:32","2.92E+24","3.10E-6"
"228"," 2012-04-27 08:15"," 2012-04-27 08:29","[ 2 64]","593"," 2012-04-27 08:15"," 2012-04-27 08:29","5.70E+24","1.00E-5"
"115"," 2012-04-28 08:54"," 2012-04-28 09:04","[  6 276]","595"," 2012-04-28 08:54"," 2012-04-28 09:04","1.76E+24","1.70E-6"
"110"," 2012-05-07 10:28"," 2012-05-07 10:37","[  4 120]","608"," 2012-05-07 10:28"," 2012-05-07 10:37","2.61E+24","1.10E-6"
"227"," 2012-05-10 20:20"," 2012-05-10 20:30","[ 5 82]","632"," 2012-05-10 20:20"," 2012-05-10 20:30","6.39E+24","1.70E-5"
"108"," 2012-05-11 03:35"," 2012-05-11 03:46","[ 1 80]","633"," 2012-05-11 03:35"," 2012-05-11 03:46","3.71E+24","3.10E-6"
"107"," 2012-05-11 05:24"," 2012-05-11 05:30","[ 46 131]","635"," 2012-05-11 05:24"," 2012-05-11 05:30","2.03E+24","1.10E-6"
"106"," 2012-05-11 08:29"," 2012-05-11 08:51","[ 2 14]","639"," 2012-05-11 08:29"," 2012-05-11 08:51","4.30E+24","2.80E-6"
"105"," 2012-05-11 12:58"," 2012-05-11 13:14","[295 333]","642"," 2012-05-11 12:58"," 2012-05-11 13:14","5.52E+24","4.30E-6"
"104"," 2012-05-11 14:18"," 2012-05-11 14:25","[ 2 84]","643"," 2012-05-11 14:18"," 2012-05-11 14:25","2.12E+24","3.50E-6"
"103"," 2012-05-11 17:08"," 2012-05-11 17:20","[ 1 41]","644"," 2012-05-11 17:08"," 2012-05-11 17:20","2.48E+24","2.10E-6"
